model,metric,stored,recomputed,abs_deviation,consistent
RandomForest,accuracy,0.6557713182969485,0.6557713182969485,0.0,True
RandomForest,precision,0.9885664207394123,0.9885664207394123,0.0,True
RandomForest,recall,0.4380395910847813,0.4380395910847813,0.0,True
RandomForest,f1,0.6070789371581622,0.6070789371581622,0.0,True
RandomForest,fpr,0.007827542904981164,0.007827542904981164,0.0,True
RandomForest,tnr,0.9921724570950189,0.9921724570950189,0.0,True
RandomForest,n,182402.0,182402.0,0.0,True
SVM,accuracy,0.6538744092718282,0.6538744092718282,0.0,True
SVM,precision,0.9824056431669842,0.9824056431669842,0.0,True
SVM,recall,0.4376873893725391,0.4376873893725391,0.0,True
SVM,f1,0.6055752002299052,0.6055752002299052,0.0,True
SVM,fpr,0.012111064601646435,0.012111064601646435,0.0,True
SVM,tnr,0.9878889353983535,0.9878889353983535,0.0,True
SVM,n,182402.0,182402.0,0.0,True
CNN_1D,accuracy,0.6509851865659367,0.6509851865659367,0.0,True
CNN_1D,precision,0.9974425633546805,0.9974425633546805,0.0,True
CNN_1D,recall,0.4261821334392949,0.4261821334392949,0.0,True
CNN_1D,f1,0.5971970008541871,0.5971970008541871,0.0,True
CNN_1D,fpr,0.0016882935677410354,0.0016882935677410354,0.0,True
CNN_1D,tnr,0.998311706432259,0.998311706432259,0.0,True
CNN_1D,n,182402.0,182402.0,0.0,True
