model,max_fpr,threshold,recall,fpr,satisfiable,reason,budgets_collapsed
RandomForest,0.001,0.4787342346089332,0.5340444171491018,0.0007535689864497,True,,True
RandomForest,0.01,0.4787342346089332,0.5340444171491018,0.0007535689864497,True,,True
RandomForest,0.05,0.4787342346089332,0.5340444171491018,0.0007535689864497,True,,True
RandomForest,0.1,0.4787342346089332,0.5340444171491018,0.0007535689864497,True,,True
SVM,0.001,0.04108317550392,0.527776523396223,0.0009768486861385,True,,False
SVM,0.01,-0.0628743124094932,0.5350830450764521,0.0099917665610739,True,,False
SVM,0.05,-0.08843432525295,0.541459317395663,0.0190764593421621,True,,False
SVM,0.1,-0.08843432525295,0.541459317395663,0.0190764593421621,True,,False
CNN_1D,0.001,0.4717311859130859,0.5313801107267686,0.0001814147559971,True,,True
CNN_1D,0.01,0.4717311859130859,0.5313801107267686,0.0001814147559971,True,,True
CNN_1D,0.05,0.4717311859130859,0.5313801107267686,0.0001814147559971,True,,True
CNN_1D,0.1,0.4717311859130859,0.5313801107267686,0.0001814147559971,True,,True
