feature,importance,source_column
sTtl,0.16669889357942902,sTtl
sMeanPktSz,0.09529603658862838,sMeanPktSz
Proto_tcp,0.08983925616471337,Proto
SynAck,0.06464326382484041,SynAck
Dur,0.05610429291041528,Dur
TcpRtt,0.04811308204428146,TcpRtt
Load,0.04279180635760457,Load
Rate,0.042266597148993036,Rate
SrcRate,0.040450629602233536,SrcRate
SrcBytes,0.0355630799206872,SrcBytes
SrcWin,0.0342776954809937,SrcWin
SrcLoad,0.03355678538364545,SrcLoad
TotBytes,0.030074705191084686,TotBytes
AckDat,0.028496099310748906,AckDat
Proto_udp,0.02185708190717736,Proto
dDSb_cs0,0.01952029621925517,dDSb
dTtl,0.016534156727320302,dTtl
TotPkts,0.014091303789174186,TotPkts
dDSb___missing__,0.011917348047276798,dDSb
SrcPkts,0.011632196828083488,SrcPkts
State_REQ,0.01146968044428041,State
DstBytes,0.009883090771267393,DstBytes
dMeanPktSz,0.009645984299913478,dMeanPktSz
State_ECO,0.008466543105492375,State
Cause_Status,0.007175769871071872,Cause
DstPkts,0.006636435291001459,DstPkts
Proto_icmp,0.005726943547266883,Proto
pLoss,0.005223779969917183,pLoss
DstWin,0.0051515320787384545,DstWin
Cause_Start,0.005009004343977291,Cause
SrcLoss,0.0041295591091192975,SrcLoss
State_RST,0.0037622953908401442,State
State_INT,0.0036341825382123767,State
Loss,0.003356045098805,Loss
DstRate,0.0019125010172812973,DstRate
State_CON,0.0018224215437750366,State
DstLoad,0.0015477063324628052,DstLoad
State_FIN,0.00048239054024977175,State
sDSb_cs0,0.00042768543748940085,sDSb
Proto_sctp,0.00031332351983889823,Proto
State_ACC,0.00021876477785729,State
sDSb___missing__,6.639569247268701e-05,sDSb
dDSb_af11,6.079232014028533e-05,dDSb
sDSb_af41,3.899552587917197e-05,sDSb
sDSb_ef,1.753381769643419e-05,sDSb
Proto_lldp,1.7003442751690348e-05,Proto
dDSb_ef,1.4421277516051202e-05,dDSb
sDSb_af12,1.2186657526324805e-05,sDSb
sDSb_af11,1.2180892471159285e-05,sDSb
Proto_llc,8.973520346740353e-06,Proto
DstLoss,7.79365130708905e-06,DstLoss
State_RSP,6.418528710329505e-06,State
sDSb_cs7,5.284497440892696e-06,sDSb
sDSb_4,4.435803443613715e-06,sDSb
sDSb_52,3.6946418356190553e-06,sDSb
sDSb_cs4,3.257505484069218e-06,sDSb
State_URP,3.81697719969738e-07,State
sDSb_cs6,4.471643873548839e-09,sDSb
dDSb_af12,1.6956284184956954e-13,dDSb
sDSb_39,0.0,sDSb
Proto_ipv6-icmp,0.0,Proto
Proto_arp,0.0,Proto
sDSb_54,0.0,sDSb
dDSb_cs4,0.0,dDSb
dDSb_cs1,0.0,dDSb
State_NRS,0.0,State
State_TST,0.0,State
