n,accuracy,precision,recall,f1,fpr,tnr,TN,FP,FN,TP,threshold
182382,0.7596473336184492,0.7163801525630988,1.0,0.8347569755957811,0.6117305572224006,0.38826944277759945,27823,43836,0,110723,0.05
182382,0.7597844085490892,0.7164960461775403,1.0,0.8348356499545724,0.6113816826916367,0.3886183173083632,27848,43811,0,110723,0.06
182382,0.7598666535074733,0.7165656003468829,1.0,0.8348828616885711,0.6111723579731785,0.38882764202682146,27863,43796,0,110723,0.07
182382,0.7598885854963757,0.7165841504061095,1.0,0.8348954523861588,0.6111165380482563,0.38888346195174367,27867,43792,0,110723,0.08
182382,0.759926966476955,0.7166166153208895,1.0,0.834917487020748,0.6110188531796424,0.3889811468203575,27874,43785,0,110723,0.09
182382,0.7599379324714062,0.7166258915511372,1.0,0.8349237828442592,0.6109909432171814,0.3890090567828186,27876,43783,0,110723,0.1
182382,0.759954381463083,0.7166398063468024,1.0,0.8349332267575577,0.6109490782734898,0.3890509217265103,27879,43780,0,110723,0.11
182382,0.7599763134519854,0.7166583602482864,1.0,0.8349458189742932,0.6108932583485676,0.3891067416514325,27883,43776,0,110723,0.12
182382,0.759981796449211,0.7166629988737718,1.0,0.8349489670878248,0.610879303367337,0.389120696632663,27884,43775,0,110723,0.13
182382,0.7599982454408878,0.7166769151105213,1.0,0.8349584115708587,0.6108374384236454,0.3891625615763547,27887,43772,0,110723,0.14
182382,0.7600092114353391,0.7166861929019438,1.0,0.834964708011583,0.6108095284611842,0.3891904715388158,27889,43770,0,110723,0.15
182382,0.7600092114353391,0.7166861929019438,1.0,0.834964708011583,0.6108095284611842,0.3891904715388158,27889,43770,0,110723,0.16
182382,0.7600146944325646,0.7166908318877353,1.0,0.8349678562675564,0.6107955734799537,0.38920442652004633,27890,43769,0,110723,0.17
182382,0.7600146944325646,0.7166964424421314,0.9999819369056113,0.8349653671981931,0.6107676635174926,0.38923233648250743,27892,43767,2,110721,0.18
182382,0.7600256604270158,0.7167057209067488,0.9999819369056113,0.8349716638575614,0.6107397535550315,0.38926024644496854,27894,43765,2,110721,0.19
182382,0.7600256604270158,0.7167057209067488,0.9999819369056113,0.8349716638575614,0.6107397535550315,0.38926024644496854,27894,43765,2,110721,0.2
182382,0.7600256604270158,0.7167057209067488,0.9999819369056113,0.8349716638575614,0.6107397535550315,0.38926024644496854,27894,43765,2,110721,0.21
182382,0.7600366264214671,0.7167149996116102,0.9999819369056113,0.8349779606118993,0.6107118435925704,0.38928815640742964,27896,43763,2,110721,0.22
182382,0.7600366264214671,0.7167149996116102,0.9999819369056113,0.8349779606118993,0.6107118435925704,0.38928815640742964,27896,43763,2,110721,0.23
182382,0.7600366264214671,0.7167149996116102,0.9999819369056113,0.8349779606118993,0.6107118435925704,0.38928815640742964,27896,43763,2,110721,0.24
182382,0.7600366264214671,0.7167149996116102,0.9999819369056113,0.8349779606118993,0.6107118435925704,0.38928815640742964,27896,43763,2,110721,0.25
182382,0.7600366264214671,0.7167149996116102,0.9999819369056113,0.8349779606118993,0.6107118435925704,0.38928815640742964,27896,43763,2,110721,0.26
