block,base_station,rows,benign,malicious,attack_types,train_rows,train_benign,train_malicious,val_rows,val_benign,val_malicious,test_rows,test_benign,test_malicious,purged_rows,purged_benign,purged_malicious
0,0,11450,1431,10019,SYNScan,8014,1001,7013,1718,215,1503,1718,215,1503,0,0,0
1,0,11645,1623,10022,TCPConnectScan,8151,1136,7015,1746,243,1503,1748,244,1504,0,0,0
2,0,10043,2156,7887,UDPScan,7029,1509,5520,1506,323,1183,1508,324,1184,0,0,0
3,0,18279,17666,613,ICMPFlood,12795,12366,429,2742,2650,92,2742,2650,92,0,0,0
4,0,467717,291906,175811,UDPFlood,327401,204334,123067,70158,43786,26372,70158,43786,26372,0,0,0
5,0,44636,39844,4792,SYNFlood,31244,27890,3354,6696,5977,719,6696,5977,719,0,0,0
6,0,93803,17682,76121,HTTPFlood,65661,12377,53284,14070,2652,11418,14072,2653,11419,0,0,0
7,0,31015,24808,6207,SlowrateDoS,21709,17365,4344,4652,3721,931,4654,3722,932,0,0,0
8,0,38120,8235,29885,SlowrateDoS,26683,5764,20919,5718,1235,4483,5719,1236,4483,0,0,0
9,0,1608,1608,0,Benign,1125,1125,0,241,241,0,242,242,0,0,0,0
10,1,11526,1502,10024,SYNScan,8067,1051,7016,1729,225,1504,1730,226,1504,0,0,0
11,1,11653,1623,10030,TCPConnectScan,8157,1136,7021,1747,243,1504,1749,244,1505,0,0,0
12,1,10305,2286,8019,UDPScan,7213,1600,5613,1546,343,1203,1546,343,1203,0,0,0
13,1,14452,13910,542,ICMPFlood,10116,9737,379,2167,2086,81,2169,2087,82,0,0,0
14,1,286197,4668,281529,UDPFlood,200337,3267,197070,42929,700,42229,42931,701,42230,0,0,0
15,1,14108,9179,4929,SYNFlood,9875,6425,3450,2116,1377,739,2117,1377,740,0,0,0
16,1,93650,28959,64691,HTTPFlood,65554,20271,45283,14048,4344,9704,14048,4344,9704,0,0,0
17,1,12656,5609,7047,SlowrateDoS,8858,3926,4932,1898,841,1057,1900,842,1058,0,0,0
18,1,31669,1684,29985,SlowrateDoS,22167,1178,20989,4751,253,4498,4751,253,4498,0,0,0
19,1,1358,1358,0,Benign,950,950,0,204,204,0,204,204,0,0,0,0
