block,base_station,side,rows,benign,malicious,malicious_pct,attack_types,dev_train_rows,dev_val_rows,held_out_rows
0,0,development,11450,1431,10019,87.5022,SYNScan,9388,2062,0
1,0,held_out,11645,1623,10022,86.0627,TCPConnectScan,0,0,11645
2,0,development,10043,2156,7887,78.5323,UDPScan,8234,1809,0
3,0,held_out,18279,17666,613,3.3536,ICMPFlood,0,0,18279
4,0,development,467717,291906,175811,37.5892,UDPFlood,383527,84190,0
5,0,development,44636,39844,4792,10.7357,SYNFlood,36601,8035,0
6,0,development,93803,17682,76121,81.1499,HTTPFlood,76918,16885,0
7,0,development,31015,24808,6207,20.0129,SlowrateDoS,25431,5584,0
8,0,development,38120,8235,29885,78.3972,SlowrateDoS,31257,6863,0
9,0,development,1608,1608,0,0.0,Benign,1318,290,0
10,1,held_out,11526,1502,10024,86.9686,SYNScan,0,0,11526
11,1,development,11653,1623,10030,86.0723,TCPConnectScan,9554,2099,0
12,1,held_out,10305,2286,8019,77.8166,UDPScan,0,0,10305
13,1,development,14452,13910,542,3.7503,ICMPFlood,11850,2602,0
14,1,development,286197,4668,281529,98.369,UDPFlood,234680,51517,0
15,1,held_out,14108,9179,4929,34.9376,SYNFlood,0,0,14108
16,1,held_out,93650,28959,64691,69.0774,HTTPFlood,0,0,93650
17,1,held_out,12656,5609,7047,55.6811,SlowrateDoS,0,0,12656
18,1,development,31669,1684,29985,94.6825,SlowrateDoS,25967,5702,0
19,1,held_out,1358,1358,0,0.0,Benign,0,0,1358
